Sesso,Altezza,Eta,Etnia,Taglia
0,151,35,1,25
0,193,52,1,35
0,151,23,1,23
0,185,30,3,31
1,164,46,3,27
0,198,28,3,32
1,159,31,2,24
1,156,40,2,27
0,196,47,3,34
1,155,53,2,27
1,186,30,3,28
0,199,36,1,36
0,174,35,2,30
1,160,41,2,26
1,194,59,1,33
0,184,33,1,31
1,190,53,1,33
0,164,20,2,24
0,163,54,3,29
1,175,59,2,29
0,165,53,3,29
1,187,43,2,31
0,182,49,1,33
0,159,58,1,29
1,188,22,2,27
1,183,34,3,31
0,193,25,3,31
1,199,59,2,33
1,160,47,1,28
1,182,29,3,29
1,190,50,3,31
1,198,28,3,32
0,188,38,2,32
1,169,33,1,26
0,155,49,1,29
0,158,60,2,30
0,166,51,3,30
0,184,30,3,30
1,178,51,2,29
0,154,39,1,28
0,187,32,1,30
0,164,22,1,26
0,182,33,2,31
0,184,26,3,30
1,165,48,2,27
0,192,45,2,34
1,196,21,3,28
0,153,43,3,27
0,165,30,1,27
0,177,29,2,29
0,178,53,1,30
0,155,33,1,26
1,163,43,1,27
0,174,34,2,29
1,159,30,2,24
0,187,52,1,34
0,153,55,2,27
0,153,50,1,28
0,188,22,3,30
1,157,54,1,27
0,189,23,2,30
1,166,31,3,27
0,166,43,1,30
1,179,38,1,28
0,154,52,1,28
0,172,22,1,26
0,178,52,3,31
0,192,53,2,36
0,158,34,1,28
0,167,36,3,28
1,163,58,2,28
1,153,23,3,22
1,152,18,2,22
1,160,46,3,28
0,157,22,3,25
0,173,55,3,30
0,152,37,2,28
0,172,31,3,28
0,172,53,2,32
0,165,28,1,28
0,161,39,2,29
0,167,28,3,26
0,180,32,1,31
1,172,37,1,28
0,175,39,2,32
1,172,59,3,29
1,151,25,2,22
1,152,24,3,22
1,177,56,3,29
0,166,20,3,25
0,173,45,1,32
1,189,38,3,33
1,182,37,3,30
1,194,36,3,31
1,192,42,3,33
0,189,54,2,34
0,169,36,1,29
1,179,46,2,31
1,200,28,3,29
1,155,33,3,24
0,159,19,1,23
1,189,22,2,27
0,195,42,2,35
0,191,18,1,29
0,161,51,2,28
0,157,47,1,29
1,198,46,3,35
1,185,46,1,32
1,178,34,1,30
1,199,51,2,34
1,178,22,3,25
1,171,38,3,27
0,164,42,3,28
0,154,44,2,27
1,176,21,1,26
1,199,55,3,32
1,180,18,2,25
1,176,52,3,31
0,181,32,2,30
0,174,39,3,31
1,196,28,2,31
0,175,55,3,32
0,191,45,1,35
0,153,34,2,26
1,170,39,2,28
1,166,23,2,23
0,172,32,3,28
0,198,19,1,29
0,189,27,1,29
